chr,pos,strand,type,start,end,gene,transcript,group
chr9,85941145,+,promoter,85939145,85943145,NAA35,ENST00000361671.10,1 <= TPM < 3
chr9,88388443,+,promoter,88386443,88390443,SPIN1,ENST00000375859.4,1 <= TPM < 3
chr9,96450168,+,promoter,96448168,96452168,HABP4,ENST00000375249.5,1 <= TPM < 3
chr9,100099242,+,promoter,100097242,100101242,INVS,ENST00000262457.7,1 <= TPM < 3
chr9,101398850,+,promoter,101396850,101400850,ZNF189,ENST00000339664.7,1 <= TPM < 3
chr9,104094308,+,promoter,104092308,104096308,SMC2,ENST00000374793.8,1 <= TPM < 3
chr9,109119947,-,promoter,109117947,109121947,TMEM245,ENST00000374586.8,1 <= TPM < 3
chr9,132669983,-,promoter,132667983,132671983,DDX31,ENST00000372159.8,1 <= TPM < 3
chr9,134025480,+,promoter,134023480,134027480,BRD3OS,ENST00000603928.3,1 <= TPM < 3
chr9,136439845,-,promoter,136437845,136441845,INPP5E,ENST00000371712.4,1 <= TPM < 3
chr9,136662915,+,promoter,136660915,136664915,EGFL7,ENST00000308874.12,1 <= TPM < 3
chr9,136852345,+,promoter,136850345,136854345,MAMDC4,ENST00000317446.7,1 <= TPM < 3
chr9,137200741,-,promoter,137198741,137202741,TPRN,ENST00000409012.6,1 <= TPM < 3
chrX,15738269,+,promoter,15736269,15740269,CA5B,ENST00000318636.8,1 <= TPM < 3
chrX,16786465,+,promoter,16784465,16788465,TXLNG,ENST00000380122.10,1 <= TPM < 3
chrX,19991061,-,promoter,19989061,19993061,BCLAF3,ENST00000379682.9,1 <= TPM < 3
chrX,40097958,-,promoter,40095958,40099958,BCOR,ENST00000378444.9,1 <= TPM < 3
chrX,41923554,-,promoter,41921554,41925554,CASK,ENST00000378163.7,1 <= TPM < 3
chrX,46759118,-,promoter,46757118,46761118,SLC9A7,ENST00000616978.5,1 <= TPM < 3
chrX,48003989,-,promoter,48001989,48005989,ZNF182,ENST00000376943.8,1 <= TPM < 3
chrX,57121548,-,promoter,57119548,57123548,SPIN2B,ENST00000434397.3,1 <= TPM < 3
chrX,71618511,-,promoter,71616511,71620511,CXCR3,ENST00000373693.4,1 <= TPM < 3
chrX,75274084,+,promoter,75272084,75276084,UPRT,ENST00000373383.9,1 <= TPM < 3
chrX,81201913,-,promoter,81199913,81203913,HMGN5,ENST00000358130.7,1 <= TPM < 3
chrX,104157009,-,promoter,104155009,104159009,SLC25A53,ENST00000594199.3,1 <= TPM < 3
chrX,118346105,+,promoter,118344105,118348105,WDR44,ENST00000254029.8,1 <= TPM < 3
chrX,119399335,+,promoter,119397335,119401335,SLC25A43,ENST00000217909.8,1 <= TPM < 3
chrX,120250811,+,promoter,120248811,120252811,ZBTB33,ENST00000557385.2,1 <= TPM < 3
chrX,129982634,+,promoter,129980634,129984634,BCORL1,ENST00000540052.6,1 <= TPM < 3
chrX,134373311,+,promoter,134371311,134375311,PHF6,ENST00000370803.8,1 <= TPM < 3
chrX,134915257,-,promoter,134913257,134917257,MOSPD1,ENST00000370783.8,1 <= TPM < 3
chrX,135344109,-,promoter,135342109,135346109,ZNF75D,ENST00000370766.8,1 <= TPM < 3
chrX,150568620,+,promoter,150566620,150570620,MTM1,ENST00000370396.7,1 <= TPM < 3
chr1,1116089,-,promoter,1114089,1118089,C1orf159,ENST00000421241.7,3 <= TPM < 5
chr1,2050410,+,promoter,2048410,2052410,PRKCZ,ENST00000378567.8,3 <= TPM < 5
chr1,2586776,+,promoter,2584776,2588776,PRXL2B,ENST00000419916.8,3 <= TPM < 5
chr1,11805964,-,promoter,11803964,11807964,MTHFR,ENST00000376590.9,3 <= TPM < 5
chr1,12618210,-,promoter,12616210,12620210,DHRS3,ENST00000616661.5,3 <= TPM < 5
chr1,16921930,+,promoter,16919930,16923930,CROCC,ENST00000375541.10,3 <= TPM < 5
chr1,19251524,-,promoter,19249524,19253524,EMC1,ENST00000477853.6,3 <= TPM < 5
chr1,19312325,+,promoter,19310325,19314325,SLC66A1,ENST00000375153.8,3 <= TPM < 5
chr1,19799916,-,promoter,19797916,19801916,TMCO4,ENST00000294543.11,3 <= TPM < 5
chr1,24745446,+,promoter,24743446,24747446,CLIC4,ENST00000374379.9,3 <= TPM < 5
chr1,25800192,+,promoter,25798192,25802192,SELENON,ENST00000361547.7,3 <= TPM < 5
chr1,26787949,+,promoter,26785949,26789949,PIGV,ENST00000674202.1,3 <= TPM < 5
chr1,31413212,+,promoter,31411212,31415212,SERINC2,ENST00000373709.8,3 <= TPM < 5
chr1,32362485,-,promoter,32360485,32364485,FAM229A,ENST00000432622.2,3 <= TPM < 5
chr1,35557798,+,promoter,35555798,35559798,NCDN,ENST00000373243.7,3 <= TPM < 5
chr1,37859592,-,promoter,37857592,37861592,MTF1,ENST00000373036.5,3 <= TPM < 5
chr1,44986595,-,promoter,44984595,44988595,EIF2B3,ENST00000360403.7,3 <= TPM < 5
chr1,45491163,-,promoter,45489163,45493163,TESK2,ENST00000372086.4,3 <= TPM < 5
chr1,46340806,+,promoter,46338806,46342806,NSUN4,ENST00000474844.6,3 <= TPM < 5
chr1,54715860,+,promoter,54713860,54717860,TTC4,ENST00000371281.4,3 <= TPM < 5
chr1,54887195,-,promoter,54885195,54889195,DHCR24,ENST00000371269.9,3 <= TPM < 5
chr1,55215364,-,promoter,55213364,55217364,USP24,ENST00000294383.7,3 <= TPM < 5
chr1,63523225,-,promoter,63521225,63525225,ITGB3BP,ENST00000271002.15,3 <= TPM < 5
chr1,93909430,-,promoter,93907430,93911430,GCLM,ENST00000370238.8,3 <= TPM < 5
chr1,108661093,-,promoter,108659093,108663093,HENMT1,ENST00000651461.1,3 <= TPM < 5
chr1,109494093,+,promoter,109492093,109496093,CYB561D1,ENST00000420578.7,3 <= TPM < 5
chr1,110963922,-,promoter,110961922,110965922,LRIF1,ENST00000369763.5,3 <= TPM < 5
chr1,117060325,+,promoter,117058325,117062325,TTF2,ENST00000369466.9,3 <= TPM < 5
chr1,149899567,+,promoter,149897567,149901567,BOLA1,ENST00000369152.6,3 <= TPM < 5
chr1,151909511,-,promoter,151907511,151911511,THEM4,ENST00000368814.8,3 <= TPM < 5
chr1,158931551,+,promoter,158929551,158933551,PYHIN1,ENST00000368140.6,3 <= TPM < 5
chr1,162561721,+,promoter,162559721,162563721,UAP1,ENST00000367925.6,3 <= TPM < 5
chr1,174022357,-,promoter,174020357,174024357,RC3H1,ENST00000367696.7,3 <= TPM < 5
chr1,179954809,+,promoter,179952809,179956809,CEP350,ENST00000367607.8,3 <= TPM < 5
chr1,182589256,-,promoter,182587256,182591256,RNASEL,ENST00000367559.7,3 <= TPM < 5
chr1,184051729,+,promoter,184049729,184053729,TSEN15,ENST00000645668.2,3 <= TPM < 5
chr1,185045557,+,promoter,185043557,185047557,RNF2,ENST00000367510.8,3 <= TPM < 5
chr1,185156953,-,promoter,185154953,185158953,TRMT1L,ENST00000367506.10,3 <= TPM < 5
chr1,193105414,-,promoter,193103414,193107414,GLRX2,ENST00000367439.8,3 <= TPM < 5
chr1,200410036,-,promoter,200408036,200412036,ZNF281,ENST00000367353.2,3 <= TPM < 5
chr1,202348698,+,promoter,202346698,202350698,PPP1R12B,ENST00000608999.6,3 <= TPM < 5
chr1,212791893,+,promoter,212789893,212793893,TATDN3,ENST00000366974.9,3 <= TPM < 5
chr1,214281158,+,promoter,214279158,214283158,SMYD2,ENST00000366957.10,3 <= TPM < 5
chr1,220272453,-,promoter,220270453,220274453,RAB3GAP2,ENST00000358951.7,3 <= TPM < 5
chr1,224330172,-,promoter,224328172,224332172,NVL,ENST00000281701.11,3 <= TPM < 5
chr1,226186741,-,promoter,226184741,226188741,ACBD3,ENST00000366812.6,3 <= TPM < 5
chr1,229508341,-,promoter,229506341,229510341,NUP133,ENST00000261396.6,3 <= TPM < 5
chr1,231241175,-,promoter,231239175,231243175,C1orf131,ENST00000366649.7,3 <= TPM < 5
chr1,246724408,+,promoter,246722408,246726408,SCCPDH,ENST00000366510.4,3 <= TPM < 5
chr1,247895586,+,promoter,247893586,247897586,OR2W3,ENST00000360358.3,3 <= TPM < 5
chr10,15860507,-,promoter,15858507,15862507,MINDY3,ENST00000277632.8,3 <= TPM < 5
chr10,21534231,+,promoter,21532231,21536231,MLLT10,ENST00000307729.12,3 <= TPM < 5
chr10,27240797,-,promoter,27238797,27242797,ACBD5,ENST00000396271.8,3 <= TPM < 5
chr10,35090341,-,promoter,35088341,35092341,CUL2,ENST00000374749.8,3 <= TPM < 5
chr10,48306676,+,promoter,48304676,48308676,MAPK8,ENST00000374189.6,3 <= TPM < 5
chr10,50623956,-,promoter,50621956,50625956,SGMS1,ENST00000361781.7,3 <= TPM < 5
chr10,51699595,-,promoter,51697595,51701595,CSTF2T,ENST00000331173.6,3 <= TPM < 5
chr10,60778477,+,promoter,60776477,60780477,CDK1,ENST00000395284.8,3 <= TPM < 5
chr10,73168118,+,promoter,73166118,73170118,FAM149B1,ENST00000242505.11,3 <= TPM < 5
chr10,80078664,+,promoter,80076664,80080664,TMEM254,ENST00000372281.8,3 <= TPM < 5
chr10,84328588,+,promoter,84326588,84330588,CCSER2,ENST00000372088.8,3 <= TPM < 5
chr10,87818226,-,promoter,87816226,87820226,ATAD1,ENST00000680024.1,3 <= TPM < 5
chr10,95693927,-,promoter,95691927,95695927,TCTN3,ENST00000371217.10,3 <= TPM < 5
chr10,100999807,+,promoter,100997807,101001807,LZTS2,ENST00000454422.2,3 <= TPM < 5
chr10,102065348,+,promoter,102063348,102067348,HPS6,ENST00000299238.7,3 <= TPM < 5
chr10,103396625,+,promoter,103394625,103398625,PDCD11,ENST00000369797.8,3 <= TPM < 5
chr10,103967139,+,promoter,103965139,103969139,SLK,ENST00000369755.4,3 <= TPM < 5
chr10,114658275,-,promoter,114656275,114660275,ABLIM1,ENST00000533213.7,3 <= TPM < 5
chr10,117375440,-,promoter,117373440,117377440,PDZD8,ENST00000334464.7,3 <= TPM < 5
chr10,119165714,-,promoter,119163714,119167714,SFXN4,ENST00000355697.7,3 <= TPM < 5
chr10,124942122,+,promoter,124940122,124944122,ZRANB1,ENST00000359653.4,3 <= TPM < 5
chr10,129467240,+,promoter,129465240,129469240,MGMT,ENST00000651593.1,3 <= TPM < 5
chr11,2445007,+,promoter,2443007,2447007,KCNQ1,ENST00000155840.12,3 <= TPM < 5
chr11,6473941,-,promoter,6471941,6475941,TRIM3,ENST00000345851.8,3 <= TPM < 5
chr11,9384651,+,promoter,9382651,9386651,IPO7,ENST00000379719.8,3 <= TPM < 5
chr11,10693755,-,promoter,10691755,10695755,IRAG1,ENST00000423302.7,3 <= TPM < 5
chr11,14892231,-,promoter,14890231,14894231,CYP2R1,ENST00000334636.10,3 <= TPM < 5
chr11,30323103,+,promoter,30321103,30325103,ARL14EP,ENST00000282032.4,3 <= TPM < 5
chr11,32091073,+,promoter,32089073,32093073,RCN1,ENST00000054950.4,3 <= TPM < 5
chr11,35662774,+,promoter,35660774,35664774,TRIM44,ENST00000299413.7,3 <= TPM < 5
chr11,46594023,-,promoter,46592023,46596023,AMBRA1,ENST00000683756.1,3 <= TPM < 5
chr11,46701030,+,promoter,46699030,46703030,ZNF408,ENST00000311764.3,3 <= TPM < 5
chr11,46936760,+,promoter,46934760,46938760,CSTPP1,ENST00000278460.12,3 <= TPM < 5
chr11,47257995,+,promoter,47255995,47259995,NR1H3,ENST00000441012.7,3 <= TPM < 5
chr11,61792910,+,promoter,61790910,61794910,FEN1,ENST00000305885.3,3 <= TPM < 5
chr11,62653302,-,promoter,62651302,62655302,INTS5,ENST00000330574.2,3 <= TPM < 5
chr11,63813455,+,promoter,63811455,63815455,SPINDOC,ENST00000294244.9,3 <= TPM < 5
chr11,63939001,+,promoter,63937001,63941001,NAA40,ENST00000377793.9,3 <= TPM < 5
chr11,65058553,-,promoter,65056553,65060553,NAALADL1,ENST00000358658.8,3 <= TPM < 5
chr11,66546048,-,promoter,66544048,66548048,ZDHHC24,ENST00000310442.5,3 <= TPM < 5
chr11,73876998,+,promoter,73874998,73878998,PAAF1,ENST00000310571.8,3 <= TPM < 5
chr11,77821143,+,promoter,77819143,77823143,AAMDC,ENST00000393427.7,3 <= TPM < 5
chr11,111871581,-,promoter,111869581,111873581,ALG9,ENST00000616540.5,3 <= TPM < 5
chr11,118925926,-,promoter,118923926,118927926,BCL9L,ENST00000683865.1,3 <= TPM < 5
chr11,121292770,+,promoter,121290770,121294770,SC5D,ENST00000264027.9,3 <= TPM < 5
chr12,1918652,-,promoter,1916652,1920652,CACNA2D4,ENST00000382722.10,3 <= TPM < 5
chr12,6851286,-,promoter,6849286,6853286,CDCA3,ENST00000538862.7,3 <= TPM < 5
chr12,7189685,+,promoter,7187685,7191685,PEX5,ENST00000675855.1,3 <= TPM < 5
chr12,9607916,-,promoter,9605916,9609916,KLRB1,ENST00000229402.4,3 <= TPM < 5
chr12,12611875,+,promoter,12609875,12613875,CREBL2,ENST00000228865.3,3 <= TPM < 5
chr12,25195236,+,promoter,25193236,25197236,ETFRF1,ENST00000381356.9,3 <= TPM < 5
chr12,30695869,-,promoter,30693869,30697869,IPO8,ENST00000256079.9,3 <= TPM < 5
chr12,51026384,-,promoter,51024384,51028384,SLC11A2,ENST00000262052.9,3 <= TPM < 5
chr12,52680407,-,promoter,52678407,52682407,KRT1,ENST00000252244.3,3 <= TPM < 5
chr12,53180721,+,promoter,53178721,53182721,ZNF740,ENST00000416904.5,3 <= TPM < 5
chr12,53499458,-,promoter,53497458,53501458,MAP3K12,ENST00000547488.6,3 <= TPM < 5
chr12,54280122,-,promoter,54278122,54282122,CBX5,ENST00000209875.9,3 <= TPM < 5
chr12,55997275,+,promoter,55995275,55999275,SUOX,ENST00000266971.8,3 <= TPM < 5
chr12,69359742,+,promoter,69357742,69361742,YEATS4,ENST00000247843.7,3 <= TPM < 5
chr12,74537834,+,promoter,74535834,74539834,ATXN7L3B,ENST00000519948.4,3 <= TPM < 5
chr12,93677374,+,promoter,93675374,93679374,CRADD,ENST00000332896.8,3 <= TPM < 5
chr12,95217806,+,promoter,95215806,95219806,VEZT,ENST00000436874.6,3 <= TPM < 5
chr12,103965871,+,promoter,103963871,103967871,TDG,ENST00000392872.8,3 <= TPM < 5
chr12,107761137,-,promoter,107759137,107763137,PRDM4,ENST00000228437.10,3 <= TPM < 5
chr12,109097596,+,promoter,109095596,109099596,UNG,ENST00000242576.7,3 <= TPM < 5
chr12,112418946,+,promoter,112416946,112420946,PTPN11,ENST00000351677.7,3 <= TPM < 5
chr12,113185720,+,promoter,113183720,113187720,RITA1,ENST00000548278.2,3 <= TPM < 5
chr12,120446443,+,promoter,120444443,120448443,GATC,ENST00000551765.6,3 <= TPM < 5
chr12,123233141,-,promoter,123231141,123235141,MPHOSPH9,ENST00000606320.6,3 <= TPM < 5
chr12,123602098,+,promoter,123600098,123604098,DDX55,ENST00000238146.9,3 <= TPM < 5
chr12,123712352,+,promoter,123710352,123714352,ATP6V0A2,ENST00000330342.8,3 <= TPM < 5
chr12,123973214,+,promoter,123971214,123975214,ZNF664,ENST00000337815.9,3 <= TPM < 5
chr12,132710841,+,promoter,132708841,132712841,PGAM5,ENST00000498926.7,3 <= TPM < 5
chr13,25287488,-,promoter,25285488,25289488,MTMR6,ENST00000381801.6,3 <= TPM < 5
chr13,26222314,-,promoter,26220314,26224314,RNF6,ENST00000381588.9,3 <= TPM < 5
chr13,29850617,-,promoter,29848617,29852617,UBL3,ENST00000380680.5,3 <= TPM < 5
chr13,45464938,+,promoter,45462938,45466938,COG3,ENST00000349995.10,3 <= TPM < 5
chr13,48001273,-,promoter,47999273,48003273,SUCLA2,ENST00000646932.1,3 <= TPM < 5
chr13,49792682,-,promoter,49790682,49794682,KPNA3,ENST00000261667.8,3 <= TPM < 5
chr13,51584461,+,promoter,51582461,51586461,WDFY2,ENST00000298125.7,3 <= TPM < 5
chr13,72781900,-,promoter,72779900,72783900,DIS3,ENST00000377767.9,3 <= TPM < 5
chr13,76886405,-,promoter,76884405,76888405,KCTD12,ENST00000377474.4,3 <= TPM < 5
chr13,76992080,+,promoter,76990080,76994080,CLN5,ENST00000377453.9,3 <= TPM < 5
chr13,113490711,-,promoter,113488711,113492711,DCUN1D2,ENST00000478244.6,3 <= TPM < 5
chr14,20343634,+,promoter,20341634,20345634,PARP2,ENST00000429687.8,3 <= TPM < 5
chr14,24299849,+,promoter,24297849,24301849,NOP9,ENST00000267425.8,3 <= TPM < 5
chr14,34462240,-,promoter,34460240,34464240,SPTSSA,ENST00000298130.5,3 <= TPM < 5
chr14,39170333,-,promoter,39168333,39172333,TRAPPC6B,ENST00000330149.10,3 <= TPM < 5
chr14,39432433,-,promoter,39430433,39434433,FBXO33,ENST00000298097.8,3 <= TPM < 5
chr14,45084115,+,promoter,45082115,45086115,PRPF39,ENST00000355765.11,3 <= TPM < 5
chr14,54397006,+,promoter,54395006,54399006,CDKN3,ENST00000335183.11,3 <= TPM < 5
chr14,57268905,-,promoter,57266905,57270905,EXOC5,ENST00000621441.5,3 <= TPM < 5
chr14,57268970,+,promoter,57266970,57270970,AP5M1,ENST00000261558.8,3 <= TPM < 5
chr14,58298554,+,promoter,58296554,58300554,ARID4A,ENST00000355431.8,3 <= TPM < 5
chr14,59484408,-,promoter,59482408,59486408,L3HYPDH,ENST00000247194.9,3 <= TPM < 5
chr14,60091922,+,promoter,60089922,60093922,PCNX4,ENST00000406854.6,3 <= TPM < 5
chr14,60734760,+,promoter,60732760,60736760,MNAT1,ENST00000261245.9,3 <= TPM < 5
chr14,76151921,+,promoter,76149921,76153921,GPATCH2L,ENST00000261530.12,3 <= TPM < 5
chr14,88005134,+,promoter,88003134,88007134,GPR65,ENST00000267549.5,3 <= TPM < 5
chr14,96363525,+,promoter,96361525,96365525,GSKIP,ENST00000555181.6,3 <= TPM < 5
chr14,103522830,-,promoter,103520830,103524830,CKB,ENST00000348956.7,3 <= TPM < 5
chr14,105491245,+,promoter,105489245,105493245,TEDC1,ENST00000392523.9,3 <= TPM < 5
chr15,41838846,+,promoter,41836846,41840846,PLA2G4B,ENST00000458483.4,3 <= TPM < 5
chr15,42273200,+,promoter,42271200,42275200,GANC,ENST00000318010.13,3 <= TPM < 5
chr15,43493156,-,promoter,43491156,43495156,TP53BP1,ENST00000382044.9,3 <= TPM < 5
chr15,45023194,+,promoter,45021194,45025194,SORD,ENST00000267814.14,3 <= TPM < 5
chr15,45402335,+,promoter,45400335,45404335,SPATA5L1,ENST00000305560.11,3 <= TPM < 5
chr15,49170246,+,promoter,49168246,49172246,GALK2,ENST00000560031.6,3 <= TPM < 5
chr15,56918643,+,promoter,56916643,56920643,TCF12,ENST00000333725.10,3 <= TPM < 5
chr15,57706713,+,promoter,57704713,57708713,POLR2M,ENST00000299638.8,3 <= TPM < 5
chr15,60479142,-,promoter,60477142,60481142,ICE2,ENST00000261520.9,3 <= TPM < 5
chr15,67542702,+,promoter,67540702,67544702,MAP2K5,ENST00000178640.10,3 <= TPM < 5
chr15,75579315,-,promoter,75577315,75581315,PTPN9,ENST00000618819.5,3 <= TPM < 5
chr15,75843446,+,promoter,75841446,75845446,UBE2Q2,ENST00000267938.9,3 <= TPM < 5
chr15,75903877,+,promoter,75901877,75905877,FBXO22,ENST00000308275.8,3 <= TPM < 5
chr15,80989819,-,promoter,80987819,80991819,MESD,ENST00000261758.6,3 <= TPM < 5
chr15,89243978,+,promoter,89241978,89245978,FANCI,ENST00000310775.12,3 <= TPM < 5
chr15,100919356,+,promoter,100917356,100921356,LRRK1,ENST00000388948.8,3 <= TPM < 5
chr16,53608,-,promoter,51608,55608,POLR3K,ENST00000293860.6,3 <= TPM < 5
chr16,425648,+,promoter,423648,427648,RAB11FIP3,ENST00000262305.9,3 <= TPM < 5
chr16,1772809,+,promoter,1770809,1774809,EME2,ENST00000568449.7,3 <= TPM < 5
chr16,2047834,-,promoter,2045834,2049834,NTHL1,ENST00000651570.2,3 <= TPM < 5
chr16,3135028,+,promoter,3133028,3137028,ZNF213,ENST00000396878.8,3 <= TPM < 5
chr16,3305496,+,promoter,3303496,3307496,ZNF75A,ENST00000669516.2,3 <= TPM < 5
chr16,3401004,-,promoter,3399004,3403004,ZSCAN32,ENST00000396852.9,3 <= TPM < 5
chr16,5071842,+,promoter,5069842,5073842,ALG1,ENST00000262374.10,3 <= TPM < 5
chr16,11965209,+,promoter,11963209,11967209,TNFRSF17,ENST00000053243.6,3 <= TPM < 5
chr16,15888603,-,promoter,15886603,15890603,CEP20,ENST00000255759.11,3 <= TPM < 5
chr16,20741818,-,promoter,20739818,20743818,THUMPD1,ENST00000396083.7,3 <= TPM < 5
chr16,29995617,-,promoter,29993617,29997617,HIRIP3,ENST00000279392.8,3 <= TPM < 5
chr16,48385413,-,promoter,48383413,48387413,SIAH1,ENST00000394725.3,3 <= TPM < 5
chr16,53704155,+,promoter,53702155,53706155,FTO,ENST00000471389.6,3 <= TPM < 5
chr16,67666750,-,promoter,67664750,67668750,ENKD1,ENST00000243878.9,3 <= TPM < 5
chr16,67944120,-,promoter,67942120,67946120,LCAT,ENST00000264005.10,3 <= TPM < 5
chr16,68245372,+,promoter,68243372,68247372,PLA2G15,ENST00000219345.10,3 <= TPM < 5
chr16,69339771,+,promoter,69337771,69341771,NIP7,ENST00000254940.10,3 <= TPM < 5
chr16,70454594,+,promoter,70452594,70456594,FCSK,ENST00000288078.11,3 <= TPM < 5
chr16,72093620,-,promoter,72091620,72095620,TXNL4B,ENST00000268483.8,3 <= TPM < 5
chr16,75464689,-,promoter,75462689,75466689,TMEM170A,ENST00000561878.2,3 <= TPM < 5
chr16,82170224,-,promoter,82168224,82172224,MPHOSPH6,ENST00000258169.9,3 <= TPM < 5
chr16,85613321,+,promoter,85611321,85615321,GSE1,ENST00000253458.12,3 <= TPM < 5
chr16,86555235,-,promoter,86553235,86557235,MTHFSD,ENST00000360900.11,3 <= TPM < 5
chr16,88706502,+,promoter,88704502,88708502,CTU2,ENST00000453996.7,3 <= TPM < 5
chr16,88803788,+,promoter,88801788,88805788,CDT1,ENST00000301019.9,3 <= TPM < 5
chr17,1645732,-,promoter,1643732,1647732,SCARF1,ENST00000263071.9,3 <= TPM < 5
chr17,4143196,+,promoter,4141196,4145196,CYB5D2,ENST00000301391.8,3 <= TPM < 5
chr17,7179370,-,promoter,7177370,7181370,ASGR1,ENST00000269299.8,3 <= TPM < 5
chr17,7217627,-,promoter,7215627,7219627,DLG4,ENST00000399506.9,3 <= TPM < 5
chr17,7688476,+,promoter,7686476,7690476,WRAP53,ENST00000396463.7,3 <= TPM < 5
chr17,10697593,+,promoter,10695593,10699593,ADPRM,ENST00000379774.5,3 <= TPM < 5
chr17,16353469,-,promoter,16351469,16355469,CENPV,ENST00000299736.5,3 <= TPM < 5
chr17,31094976,+,promoter,31092976,31096976,NF1,ENST00000358273.9,3 <= TPM < 5
chr17,34961539,+,promoter,34959539,34963539,ZNF830,ENST00000361952.5,3 <= TPM < 5
chr17,34980511,+,promoter,34978511,34982511,LIG3,ENST00000378526.9,3 <= TPM < 5
chr17,39451263,-,promoter,39449263,39453263,MED1,ENST00000300651.11,3 <= TPM < 5
chr17,39688057,-,promoter,39686057,39690057,PGAP3,ENST00000300658.9,3 <= TPM < 5
chr17,42980564,+,promoter,42978564,42982564,RUNDC1,ENST00000361677.6,3 <= TPM < 5
chr17,44503406,-,promoter,44501406,44505406,GPATCH8,ENST00000591680.6,3 <= TPM < 5
chr17,50346125,+,promoter,50344125,50348125,XYLT2,ENST00000017003.7,3 <= TPM < 5
chr17,58692601,+,promoter,58690601,58694601,RAD51C,ENST00000337432.9,3 <= TPM < 5
chr17,59893120,+,promoter,59891120,59895120,RPS6KB1,ENST00000225577.9,3 <= TPM < 5
chr17,60677850,+,promoter,60675850,60679850,BCAS3,ENST00000407086.8,3 <= TPM < 5
chr17,62065278,-,promoter,62063278,62067278,MED13,ENST00000397786.7,3 <= TPM < 5
chr17,63600894,+,promoter,63598894,63602894,TACO1,ENST00000258975.7,3 <= TPM < 5
chr17,73092688,-,promoter,73090688,73094688,SLC39A11,ENST00000255559.8,3 <= TPM < 5
chr17,76240493,-,promoter,76238493,76242493,RNF157,ENST00000269391.11,3 <= TPM < 5
chr17,82023304,+,promoter,82021304,82025304,LRRC45,ENST00000306688.8,3 <= TPM < 5
chr18,10526026,+,promoter,10524026,10528026,NAPG,ENST00000322897.11,3 <= TPM < 5
chr18,12948010,+,promoter,12946010,12950010,SEH1L,ENST00000399892.7,3 <= TPM < 5
chr18,12991361,+,promoter,12989361,12993361,CEP192,ENST00000506447.5,3 <= TPM < 5
chr18,13218759,+,promoter,13216759,13220759,LDLRAD4,ENST00000359446.11,3 <= TPM < 5
chr18,13726558,-,promoter,13724558,13728558,FAM210A,ENST00000651643.1,3 <= TPM < 5
chr18,21600704,-,promoter,21598704,21602704,ESCO1,ENST00000269214.10,3 <= TPM < 5
chr18,36129340,-,promoter,36127340,36131340,SLC39A6,ENST00000269187.10,3 <= TPM < 5
chr18,51197681,-,promoter,51195681,51199681,MEX3C,ENST00000406189.4,3 <= TPM < 5
chr18,54269516,+,promoter,54267516,54271516,POLI,ENST00000579534.6,3 <= TPM < 5
chr18,63319769,-,promoter,63317769,63321769,BCL2,ENST00000333681.5,3 <= TPM < 5
chr18,63367206,-,promoter,63365206,63369206,KDSR,ENST00000645214.2,3 <= TPM < 5
chr18,79964642,+,promoter,79962642,79966642,HSBP1L1,ENST00000451882.3,3 <= TPM < 5
chr18,80034433,+,promoter,80032433,80036433,RBFA,ENST00000306735.10,3 <= TPM < 5
chr19,507496,+,promoter,505496,509496,TPGS1,ENST00000359315.6,3 <= TPM < 5
chr19,4518486,-,promoter,4516486,4520486,PLIN4,ENST00000301286.5,3 <= TPM < 5
chr19,6459792,-,promoter,6457792,6461792,SLC25A23,ENST00000301454.9,3 <= TPM < 5
chr19,6767435,-,promoter,6765435,6769435,SH2D3A,ENST00000245908.11,3 <= TPM < 5
chr19,7516102,+,promoter,7514102,7518102,ZNF358,ENST00000597229.2,3 <= TPM < 5
chr19,9621232,-,promoter,9619232,9623232,ZNF561,ENST00000302851.8,3 <= TPM < 5
chr19,10517447,-,promoter,10515447,10519447,S1PR5,ENST00000333430.6,3 <= TPM < 5
chr19,14006320,-,promoter,14004320,14008320,RFX1,ENST00000254325.9,3 <= TPM < 5
chr19,16628204,-,promoter,16626204,16630204,MED26,ENST00000263390.8,3 <= TPM < 5
chr19,17075452,-,promoter,17073452,17077452,HAUS8,ENST00000253669.10,3 <= TPM < 5
chr19,17303425,-,promoter,17301425,17305425,ABHD8,ENST00000247706.4,3 <= TPM < 5
chr19,17337552,+,promoter,17335552,17339552,GTPBP3,ENST00000324894.13,3 <= TPM < 5
chr19,19063993,+,promoter,19061993,19065993,SLC25A42,ENST00000318596.8,3 <= TPM < 5
chr19,19821750,-,promoter,19819750,19823750,ZNF506,ENST00000540806.7,3 <= TPM < 5
chr19,29715261,-,promoter,29713261,29717261,C19orf12,ENST00000323670.14,3 <= TPM < 5
chr19,35249001,+,promoter,35247001,35251001,LSR,ENST00000605618.6,3 <= TPM < 5
chr19,35775563,+,promoter,35773563,35777563,ARHGAP33,ENST00000007510.9,3 <= TPM < 5
chr19,40750477,-,promoter,40748477,40752477,C19orf54,ENST00000378313.7,3 <= TPM < 5
chr19,44846296,+,promoter,44844296,44848296,NECTIN2,ENST00000252483.10,3 <= TPM < 5
chr19,45093178,+,promoter,45091178,45095178,PPP1R37,ENST00000221462.9,3 <= TPM < 5
chr19,45995466,+,promoter,45993466,45997466,CCDC61,ENST00000595358.5,3 <= TPM < 5
chr19,47113776,-,promoter,47111776,47115776,ZC3H4,ENST00000253048.10,3 <= TPM < 5
